P1SigVar,P1SigCrestFactor,P1SigMAD,P2SigVar,P2SigSkewness,P2SigMAD,P3SigVar,P3SigSkewness,P3SigMAD,PistSigVar,PistSigPeak,PistSigPeak2Peak,PistSigMAD,fault_type
243569823.1,1.000675157,13461.29095,28288900000000.0,-1.480339992,4257661.724,28306100000000.0,-1.479689481,4259419.989,0.011322426,0.333333342,0.333333342,0.0851884,1
337418467.1,1.000671449,15449.25437,28564800000000.0,-1.595383926,4214049.74,28582900000000.0,-1.594646968,4215965.667,0.011311708,0.331558356,0.331558356,0.083870311,0
239386005.9,1.000675178,13367.02291,28291000000000.0,-1.471428023,4263668.334,28308100000000.0,-1.470784009,4265415.943,0.011323221,0.333333347,0.333333347,0.085308319,1
501181693.1,1.000912593,19553.74513,31630600000000.0,-1.35925557,4631714.682,31652900000000.0,-1.358411629,4634034.368,0.023159105,0.450819677,0.450819677,0.125346831,2
337462854.3,1.000671476,15450.47978,28565800000000.0,-1.595305865,4214186.606,28583900000000.0,-1.594568876,4216102.561,0.011314377,0.331591655,0.331591655,0.083881462,0
337507282.5,1.000671619,15451.70588,28566800000000.0,-1.595227796,4214323.475,28584900000000.0,-1.594490776,4216239.459,0.011317047,0.331625007,0.331625007,0.083892615,0
503789267.4,1.000916339,19613.54669,31671400000000.0,-1.356129182,4637225.791,31693800000000.0,-1.355283647,4639557.052,0.023380261,0.452674903,0.452674903,0.126012661,2
235103163.3,1.000675176,13268.91513,28294500000000.0,-1.461950633,4270125.985,28311600000000.0,-1.461313454,4271862.034,0.01132462,0.333333344,0.333333344,0.085437241,1
396620225.5,1.000760098,17022.35841,29803700000000.0,-1.499306786,4383757.253,29823500000000.0,-1.498529308,4385834.112,0.015132509,0.375426627,0.375426627,0.098793533,2
337551632.3,1.000671693,15452.92959,28567800000000.0,-1.595149721,4214460.343,28585900000000.0,-1.594412669,4216376.355,0.011319718,0.331658339,0.331658339,0.083903771,0
506419751.9,1.000920127,19673.58678,31712400000000.0,-1.352990538,4642753.75,31734800000000.0,-1.352143397,4645085.276,0.023604404,0.45454546,0.45454546,0.126684144,2
337596121.4,1.000671711,15454.15651,28568800000000.0,-1.595071638,4214597.211,28586900000000.0,-1.594334555,4216513.252,0.01132239,0.331691656,0.331691656,0.083914929,0
230714576.6,1.000675189,13166.6645,28299800000000.0,-1.451878172,4277051.893,28316700000000.0,-1.451248182,4278775.448,0.011326672,0.333333346,0.333333346,0.085575509,1
337640521.3,1.000671793,15455.38078,28569800000000.0,-1.594993548,4214734.079,28587900000000.0,-1.594256434,4216650.149,0.011325062,0.331725003,0.331725003,0.083926089,0
337685029.7,1.000671852,15456.60745,28570800000000.0,-1.594915451,4214870.952,28588900000000.0,-1.594178305,4216787.049,0.011327736,0.331758349,0.331758349,0.083937251,0
226225908.1,1.000675186,13060.14761,28306700000000.0,-1.441186892,4284451.12,28323500000000.0,-1.440564446,4286161.252,0.011329402,0.333333341,0.333333341,0.085723225,1
337729385.8,1.00067192,15457.82985,28571800000000.0,-1.594837347,4215007.818,28589900000000.0,-1.59410017,4216923.945,0.01133041,0.331791706,0.331791706,0.083948416,0
509073402.5,1.000923943,19734.06517,31753500000000.0,-1.349839532,4648299.339,31776000000000.0,-1.348990773,4650642.452,0.023831587,0.456431541,0.456431541,0.127361992,2
511750556.0,1.000927788,19794.98404,31794800000000.0,-1.346676058,4653869.944,31817300000000.0,-1.34582567,4656213.294,0.024061862,0.458333339,0.458333339,0.128045866,2
330054559.0,1.000675002,15223.20007,28555300000000.0,-1.589467271,4214198.457,28573400000000.0,-1.588730498,4216118.414,0.011429359,0.33333334,0.33333334,0.084322368,1
514451504.5,1.000931668,19856.16005,31836200000000.0,-1.343500008,4659451.066,31858800000000.0,-1.342647979,4661806.016,0.024295283,0.460251051,0.460251051,0.128736066,2
337773812.2,1.000671927,15459.05368,28572800000000.0,-1.594759235,4215144.69,28590900000000.0,-1.594022026,4217060.845,0.011333085,0.331825046,0.331825046,0.083959582,0
517176548.2,1.000935578,19917.60108,31877800000000.0,-1.340311273,4665064.19,31900500000000.0,-1.339457591,4667419.344,0.024531908,0.462184879,0.462184879,0.129432637,2
221633504.1,1.000675192,12949.07571,28315400000000.0,-1.429842352,4292355.901,28332200000000.0,-1.429227817,4294055.574,0.011332865,0.333333342,0.333333342,0.085881111,1
337818334.5,1.000672055,15460.2796,28573800000000.0,-1.594681116,4215281.56,28591900000000.0,-1.593943876,4217197.743,0.011335762,0.331858437,0.331858437,0.083970752,0
519926056.3,1.000939523,19979.75059,31919600000000.0,-1.337109742,4670681.891,31942300000000.0,-1.336254395,4673048.656,0.024771793,0.464135025,0.464135025,0.130135532,2
337862843.4,1.000672152,15461.50481,28574800000000.0,-1.59460299,4215418.433,28592900000000.0,-1.593865718,4217334.645,0.011338439,0.331891824,0.331891824,0.083981923,0
216940293.4,1.000675207,12833.25973,28326000000000.0,-1.417822085,4300758.414,28342700000000.0,-1.41721583,4302442.651,0.01133707,0.333333344,0.333333344,0.086048853,1
522700216.5,1.000943512,20042.23151,31961500000000.0,-1.333895303,4676337.378,31984300000000.0,-1.333038278,4678704.315,0.025014995,0.4661017,0.4661017,0.130845121,2
