PistonPositionCSR,P1Var,P2CSR,P3CSR,FaultType
245.726016795059,109510638.689358,12287990317.064,12286300839.7529,1
272.600780886565,335563069.212745,13762505786.4849,13760832348.289,0
274.392906551465,338799084.780566,13751819157.3151,13750133428.3012,0
388.09134002446,561161201.745632,13115281849.6331,13112783155.3719,2
389.601058765567,564316325.898196,13107272822.0358,13104762885.7509,2
243.720482846096,102978501.504667,12187713620.9158,12186024142.3048,1
241.556692302348,96369644.6731191,12079524091.1624,12077834615.1174,1
239.21726231664,89685919.5615938,11962552595.6019,11960863115.832,1
236.684059081566,82928511.3048293,11835892429.9892,11834202954.0783,1
233.934471514019,76100788.6146519,11698413056.2769,11696723575.701,1
230.944186607449,69202892.0607828,11548898806.2755,11547209330.3725,1
391.122813357889,567501361.290827,13099209424.6361,13096688144.2566,2
311.261964383665,407356744.686601,13537121511.5248,13535179360.32,2
392.656749534286,570716815.958478,13091091044.5812,13088558317.8096,2
274.417622869541,338843717.687879,13751671941.3813,13749986042.8723,0
227.683301553846,62239204.8683312,11385854559.0978,11384165077.6923,1
394.203015125228,573962945.510404,13082917053.1717,13080372774.6099,2
395.761760447596,577240301.547083,13074686811.1113,13072130875.3903,2
224.118555573766,55209171.7016564,11207617254.461,11205927778.6883,1
397.33313827506,580549169.928945,13066399671.5272,13063831970.5588,2
398.917304016545,583890130.871693,13058054978.5565,13055475404.1778,2
220.209390729884,48117977.7083509,11012159018.8529,11010469536.4942,1
274.442343853256,338888424.282508,13751524710.0877,13749838641.5369,0
274.602344269152,329093220.621037,13731806687.3425,13730117213.4576,1
400.514415391698,587263450.076398,13049652060.2865,13047060501.3962,2
215.90948699908,40999282.9132525,10797163592.8978,10795474349.954,1
274.467069287066,338933105.241331,13751377451.5121,13749691213.4263,0
274.491799428252,338977987.601261,13751230179.0445,13749543771.3606,0
274.516533954665,339022685.457568,13751082876.6594,13749396299.1334,0
211.179958700895,34471649.7014772,10560682462.4923,10558997935.0447,1
206.010834886573,28742445.1320947,10302215154.885,10300541744.3287,1
402.124632890257,590669609.736351,13041190236.8372,13038586581.5932,2
403.748119729054,594109203.617082,13032668819.3525,13030052954.8922,2
405.385041610826,597582523.695423,13024087102.4143,13021458912.3477,2
274.564498880007,328069129.727669,13729914417.5632,13728224944.0003,1
200.395348947913,23754144.2033795,10021423256.5929,10019767447.3956,1
407.0355672785,601090071.227757,13015444374.0024,13012803741.7824,2
194.327588201047,19439322.6434804,9718011027.7105,9716379410.05232,1
187.801194589223,15738267.5215144,9391660526.40926,9390059729.46117,1
274.541273045181,339067401.731732,13750935552.8629,13749248805.6364,0
180.809766501953,12588607.5814382,9042051586.13805,9040488325.09765,1
408.699868196475,604632386.40408,13006739907.6679,13004086715.3424,2
274.566016702329,339112132.466874,13750788208.3475,13749101290.9272,0
410.378118677067,608209880.339055,12997972964.3667,12995307091.4404,2
412.070496074782,611823023.3794,12989142793.9676,12986464118.7204,2
272.625169458037,335607057.816438,13762360189.473,13760686583.6547,0
274.590764805105,339156890.687521,13750640835.5935,13748953748.8778,0
274.615517594399,339201707.444787,13750493448.4554,13748806191.4812,0
274.640274870975,339246438.417796,13750346034.8024,13748658608.6925,0
173.347138527083,9934880.20085677,8668875893.43961,8667356926.35413,1
274.66503666812,339291159.662393,13750198598.4073,13748511002.1098,0
413.777180723823,615472377.113211,12980248633.1112,12977557031.7926,2
415.498356077524,619158410.294436,12971289705.9305,12968585053.3288,2
274.689797462994,339335850.906624,13750050861.5952,13748363095.2438,0
274.714468734399,339376329.62901,13749898395.3773,13748210458.026,0
274.738758947285,339399262.088044,13749726610.8741,13748038503.2813,0
312.223704056536,409194036.530077,13531642775.2881,13529693842.4499,2
165.406247707953,7721441.66493901,8271780224.81241,8270312385.39762,1
417.2342086862,622881627.726606,12962265222.6412,12959547391.0108,2
274.762124830354,339381492.121684,13749508333.2934,13747820054.0117,0
418.984928380674,626642602.103389,12953174380.7209,12950443240.8572,2
156.981130259878,5898041.40824733,7850466340.50049,7849056512.99388,1
148.063946919324,4415827.31269654,7404542209.34297,7403197345.96619,1
138.648964996479,3230179.2313433,6933721137.97607,6932448249.82394,1
274.78375341706,339290291.163188,13749202899.7805,13747514451.2596,0
274.802535780617,339085814.03349,13748754866.5764,13747066247.0051,0
128.727466899203,2298909.42827316,6437567185.14719,6436373344.96017,1
272.649562489945,335651124.033272,13762214570.2591,13760540797.788,0
420.750708223803,630441811.980503,12944016362.5139,12941271783.2473,2
118.293893559994,1583299.45550917,5915802330.54225,5914694677.9997,1
107.338837448724,1047676.90639057,5367956140.58693,5366941872.43617,1
274.817043393061,338721534.1032,13748092819.8458,13746404029.1156,0
422.531744672484,634279828.504267,12934790337.133,12932032185.4306,2
424.328237631095,638157209.122299,12925495459.5963,12922723600.5834,2
95.8565288996283,659425.404141963,4793740058.17177,4792826444.98142,1
426.14039047388,642074501.100352,12916130869.4148,12913345165.8752,2
83.8372788244169,389268.821461379,4192669574.85903,4191863941.22084,1
71.2747075721589,210846.074964723,3564425627.93433,3563735378.60795,1
272.673959807648,335694999.263855,13762068921.6289,13760394981.8082,0
58.1589641037112,101208.902732457,2908515614.25142,2907948205.18556,1
44.4829859991468,40367.2803652169,2224586325.72352,2224149299.95734,1
30.2367687403586,11693.3808217625,1512137488.28351,1511838437.01793,1
427.968410155403,646032260.025638,12906695690.4093,12903896003.1705,2
274.825515768723,338146903.265989,13747128771.6185,13745439811.4023,0
15.4124905699193,1652.77889250447,770777919.485085,770624528.495965,1
0,6.14324181802406e-14,0,0,1
274.825783152761,337307106.11063,13745754308.2276,13744065175.6497,0
274.815304568076,336143789.194654,13743842485.4544,13742153184.4875,0
274.791029905006,334601148.481998,13741240969.3097,13739551495.2503,1
302.870639878449,391429768.046777,13585172493.6459,13583289303.6395,2
313.191523525183,411045179.791226,13526135185.3741,13524179424.9511,2
429.812507364668,650031113.399706,12897189033.061,12894375220.94,2
272.698361803223,335739062.187937,13761923262.7637,13760249155.4343,0
274.523324499678,326979026.436375,13727855699.5928,13726166224.9839,1
314.165481204033,412910529.111001,13520598494.5392,13518635857.8705,2
274.478679000726,325821126.789915,13725623422.8474,13723933950.0363,1
274.430251113521,324594233.639479,13723202030.5359,13721512555.676,1
315.145636309678,414790314.253341,13515032451.9015,13513062890.2483,2
316.13204838023,416684479.990929,13509436784.7128,13507460248.9735,2
272.722768113991,335783098.086609,13761777574.3785,13760103300.2968,0
274.377896811484,323294877.966294,13720584313.1786,13718894840.5742,1
272.503271324448,335387339.617944,13763087972.4867,13761415201.8846,0
274.321278956275,321923472.490867,13717753423.6292,13716063947.8138,1
317.124778235917,418593341.308624,13503811238.1928,13501827679.4383,2
318.12388717787,420516998.44261,13498155542.5892,13496164910.5763,2
274.260222429601,320474842.892425,13714700593.9559,13713011121.48,1
319.129437508041,422455671.131662,13492469432.8976,13490471676.4763,2
274.194372841107,318951539.579679,13711408118.5339,13709718642.0553,1
320.141492003083,424409376.133141,13486752625.5663,13484747693.4632,2
274.123518263916,317346473.192916,13707865385.8469,13706175913.1958,1
321.160114685841,426378320.168247,13481004851.0371,13478992692.1179,2
272.74717881887,335827009.340382,13761631862.2294,13759957420.3116,0
272.527641962466,335431135.776198,13762942454.091,13761269516.8724,0
322.185370276916,428362906.817721,13475225832.7839,13473206393.3983,2
272.771594061582,335871085.427802,13761486132.0236,13759811522.6621,0
274.04728683629,315664280.438492,13704053819.353,13702364341.8145,1
323.217324138099,430363060.505628,13469415278.0728,13467388505.7541,2
272.796013738562,335915183.558367,13761340378.7106,13759665602.0557,0
324.256042771213,432379050.760284,13463572903.5378,13461538745.3504,2
325.301593359861,434410946.989056,13457698414.7406,13455656816.2488,2
272.820437834417,335959242.352392,13761194601.1743,13759519657.6489,0
273.965424051539,313895985.537392,13699960675.7398,13698271202.577,1
326.354044124119,436459108.993199,13451791517.9185,13449742424.5091,2
272.552017189225,335475141.370741,13762796921.9913,13761123817.3771,0
272.844866430621,336003288.215143,13761048805.428,13759373693.4836,0
273.877540036546,312048299.820079,13695566479.9247,13693877001.8273,1
272.869299449526,336047309.178377,13760902984.9454,13759227705.5761,0
272.893737016323,336091414.502057,13760757147.4129,13759081700.1715,0
272.91817900414,336135546.347073,13760611285.347,13758935670.8047,0
273.78332999948,310110176.623073,13690855973.099,13689166499.974,1
272.94262534315,336179540.251423,13760465396.1403,13758789613.8888,0
272.967076378763,336223836.959782,13760319495.8391,13758643546.768,0
327.413464230682,438523516.01301,13445851917.7431,13443795273.7144,2
272.991531742312,336267890.5565,13760173567.5114,13758497450.7906,0
274.771051463377,333976380.512481,13740242044.569,13738552573.1688,1
273.015991473441,336311965.344668,13760027612.7103,13758351327.8889,0
328.479923638589,440604497.074921,13439879308.1671,13437815057.9423,2
273.040455823576,336356185.397391,13759881642.8187,13758205190.6658,0
329.553493299864,442702269.195645,13433873382.2288,13431801469.3429,2
273.064924509269,336400252.293175,13759735644.9954,13758059024.77,0
330.634245168903,444816888.255917,13427833830.7724,13425754197.7676,2
331.722252134009,446948567.188896,13421760337.9014,13419672927.2395,2
273.682384201458,308090118.799063,13685808687.9037,13684119210.0729,1
273.574339564533,305976985.518558,13680406451.7149,13678716978.2266,1
273.458781647601,303778376.343819,13674628559.6002,13672939082.38,1
274.749011599052,333303496.292835,13739140054.6845,13737450579.9526,1
273.335262210201,301485047.661532,13668452585.2647,13666763110.5101,1
273.203364276425,299102530.646917,13661857690.3493,13660168213.8213,1
